rank,cluster_id,cluster_score,cluster_title,articles_count,unique_urls,outlets,products,primary_tags,representative_url
1,C051,13.35,Automotriz y Manufactura lideran nuevas oportunidades de empleo en Chile según estudio de ManpowerGroup,24,11,Elamaule; Elconcecuente; Elmagallanews; Elmartutino; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo; Elquehaydecierto; Elrancahuaso; Elrepuertero,biz; nacional; regiones,sector:laboral_gobernanza; product:regiones; sector:tecnologia_telecom; sector:economia_macro; region:Valparaíso; region:Metropolitana; region:Maule; source:normal_scrape; economia_negocios,https://www.elnaveghable.cl/noticia/economia/automotriz-y-manufactura-lideran-nuevas-oportunidades-de-empleo-en-chile-segun-estu
2,C040,13.15,Los Ríos contará con el primer robot quirúrgico del sistema público instalado en regiones - Diario de Valdivia,12,6,Diariocorral; Diariodepanguipulli; Diariodevaldivia - Chile Argentina; Diariofutrono; Diariolagoranco; Diariolaguino,nacional; regiones,sector:salud_educacion_social; product:regiones; source:normal_scrape; sector:economia_macro; region:Los Ríos; region:Metropolitana; sector:tecnologia_telecom; sector:ma_distress; salud,https://www.diariodevaldivia.cl/noticia/salud/2026/06/los-rios-contara-con-el-primer-robot-quirurgico-del-sistema-publico-instalado-en-regiones
3,C048,13.15,Los Ríos contará con el primer robot quirúrgico del sistema público instalado en regiones - Diario Lanco,6,5,Diariolanco; Diariolaunion; Diariomafil; Diariopaillaco; Diarioriobueno,nacional; regiones,sector:salud_educacion_social; product:regiones; source:normal_scrape; region:Los Ríos; sector:economia_macro; region:Metropolitana; sector:tecnologia_telecom; sector:ma_distress; salud,https://www.diariolanco.cl/noticia/salud/2026/06/los-rios-contara-con-el-primer-robot-quirurgico-del-sistema-publico-instalado-en-regiones
4,C052,12.85,Regiones Más Fuertes: autoridades regionales presentarán agenda de autonomía al Presidente Kast,22,11,Elamaule; Elconcecuente; Elmagallanews; Elmartutino; Elnaveghable; Elnortero; Elobservatodo; Elquehaydecierto; Elrancahuaso; Elrepuertero; Elvacanudo,nacional; regiones,sector:politica_estado; source:normal_scrape; product:regiones; product:nacional; sector:justicia_seguridad; sector:economia_macro; sector:infraestructura_concesiones; sector:mineria_energia; politica_gobierno,https://www.elnaveghable.cl/noticia/politica/regiones-mas-fuertes-autoridades-regionales-presentaran-agenda-de-autonomia-al-pres
5,C053,12.85,Sernac cuestiona el concepto “gallinas felices” y llama a preferir huevos con certificación real,22,11,Elamaule; Elconcecuente; Elmagallanews; Elmartutino; Elnaveghable; Elnortero; Elobservatodo; Elquehaydecierto; Elrancahuaso; Elrepuertero; Elvacanudo,biz; nacional,economia_negocios; product:regiones; region:Valparaíso; region:Atacama; region:Maule; noise:opinion; sector:economia_macro; source:normal_scrape; sector:politica_estado,https://www.elnaveghable.cl/noticia/economia/sernac-cuestiona-el-concepto-gallinas-felices-y-llama-preferir-huevos-con-certifica
6,C056,12.85,Ley Uber vuelve a complicarse: expertos analizan las alternativas para destrabar su implementación,22,11,Elamaule; Elconcecuente; Elmagallanews; Elmartutino; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo; Elquehaydecierto; Elrancahuaso; Elrepuertero,biz; nacional,sector:justicia_seguridad; product:regiones; sector:tecnologia_telecom; source:normal_scrape; sector:politica_estado; sector:infraestructura_concesiones; region:Valparaíso; product:nacional; economia_negocios,https://www.elnaveghable.cl/noticia/economia/ley-uber-vuelve-complicarse-expertos-analizan-las-alternativas-para-destrabar-su-im
7,C054,12.35,Influenza A desplaza al Rinovirus y crecen las consultas respiratorias en la red asistencial chilena,11,11,Elamaule; Elconcecuente; Elmagallanews; Elmartutino; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo; Elquehaydecierto; Elrancahuaso; Elrepuertero,nacional,product:regiones; sector:politica_estado; sector:salud_educacion_social; region:Ñuble; source:normal_scrape; region:Los Lagos; region:Valparaíso; sector:empresas_finanzas; salud,https://www.elmorrocotudo.cl/noticia/salud/influenza-desplaza-al-rinovirus-y-crecen-las-consultas-respiratorias-en-la-red-asisten
8,C042,11.85,Aprueban más de $965 millones para fortalecer capacidades de respuesta de Bomberos en Lago Ranco y Paillaco - Diario de Valdivia,6,6,Diariodevaldivia - Chile Argentina; Diariofutrono; Diariolagoranco; Diariolaunion; Diariopaillaco; Diarioriobueno,regiones,sector:ma_distress; product:regiones; source:normal_scrape; sector:salud_educacion_social; region:Los Ríos; sector:politica_estado; sector:justicia_seguridad; region:Los Lagos; noise:deportes,https://www.diariodevaldivia.cl/noticia/actualidad/2026/06/aprueban-mas-de-965-millones-para-fortalecer-capacidades-de-respuesta-de-bomberos-en-lago-ranco-y-paillaco
9,C041,11.7,Los Ríos exhibe su potencial como destino de eventos internacionales en FIEXPO Latin America - Diario de Valdivia,12,6,Diariocorral; Diariodepanguipulli; Diariodevaldivia - Chile Argentina; Diariofutrono; Diariolagoranco; Diariolaguino,biz; regiones,region:Los Ríos; sector:infraestructura_concesiones; source:normal_scrape; product:regiones; sector:salud_educacion_social; noise:deportes; sector:politica_estado; sector:justicia_seguridad,https://www.diariodevaldivia.cl/noticia/turismo/2026/06/los-rios-exhibe-su-potencial-como-destino-de-eventos-internacionales-en-fiexpo-latin-america
10,C047,11.7,Los Ríos exhibe su potencial como destino de eventos internacionales en FIEXPO Latin America - Diario Lanco,6,5,Diariolanco; Diariolaunion; Diariomafil; Diariopaillaco; Diarioriobueno,biz; regiones,region:Los Ríos; sector:infraestructura_concesiones; source:normal_scrape; product:regiones; sector:salud_educacion_social; noise:deportes; sector:politica_estado; sector:justicia_seguridad,https://www.diariolanco.cl/noticia/turismo/2026/06/los-rios-exhibe-su-potencial-como-destino-de-eventos-internacionales-en-fiexpo-latin-america
11,C038,11.45,Confirman avances para renovar rotonda de Yáñez Zavala y Pablo Neruda - Diario de Valdivia,4,4,Diariocorral; Diariodevaldivia - Chile Argentina; Diariomafil; Diariosanjose,regiones,product:regiones; source:normal_scrape; sector:salud_educacion_social; region:Los Ríos; sector:justicia_seguridad; region:Los Lagos; region:Biobío; sector:tecnologia_telecom,https://www.diariodevaldivia.cl/noticia/actualidad/2026/06/confirman-avances-para-renovar-rotonda-de-yanez-zavala-y-pablo-neruda
12,C055,11.25,"Columna:""Modernizar la Alta Dirección Pública también implica hacer atractivo el servicio público""",10,10,Elamaule; Elconcecuente; Elmartutino; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo; Elquehaydecierto; Elrancahuaso; Elrepuertero,nacional,product:regiones; sector:politica_estado; source:normal_scrape; sector:empresas_finanzas; sector:justicia_seguridad; sector:salud_educacion_social; sector:economia_macro; product:nacional; educacion,https://www.elmorrocotudo.cl/noticia/educacion/columnamodernizar-la-alta-direccion-publica-tambien-implica-hacer-atractivo-el-ser
13,C004,11.15,"Venezuela confirma muerte del líder del Tren de Aragua y revela que hubo ""enfrentamientos"" durante el operativo",1,1,Emol,nacional,sector:politica_estado; source:normal_scrape; product:nacional; sector:empresas_finanzas; sector:justicia_seguridad; product:regiones; sector:infraestructura_concesiones; sector:economia_macro; internacional,https://www.emol.com/noticias/Internacional/2026/06/13/1202704/venezuela-confirma-muerte-tren-aragua.html
14,C005,11.15,La revancha de la minería: el nuevo ciclo de inversiones por más de US$17.000 millones que toma fuerza en Chile,2,1,Ex-Ante,biz; nacional,sector:mineria_energia; sector:politica_estado; sector:medioambiente_permisos; source:normal_scrape; sector:laboral_gobernanza; sector:economia_macro; sector:empresas_finanzas; sector:justicia_seguridad,https://www.ex-ante.cl/la-revancha-de-la-mineria-el-nuevo-ciclo-de-inversiones-por-mas-de-us17-000-millones-que-toma-fuerza-en-chile
15,C007,11.15,Cuáles son los costos ocultos de la permisología para viviendas sociales que reveló el ministro Poduje,2,1,Ex-Ante,biz; nacional,sector:empresas_finanzas; sector:laboral_gobernanza; source:normal_scrape; sector:politica_estado; sector:infraestructura_concesiones; sector:mineria_energia; product:nacional; sector:tecnologia_telecom,https://www.ex-ante.cl/cuales-son-los-costos-ocultos-de-la-permisologia-para-viviendas-sociales-que-revelo-el-ministro-poduje
16,C006,11.0,La trampa del CAE. Por Kenneth Bunker,1,1,Ex-Ante,nacional,sector:politica_estado; sector:empresas_finanzas; source:normal_scrape; product:nacional; product:regiones; sector:economia_macro; sector:salud_educacion_social; sector:justicia_seguridad,https://www.ex-ante.cl/la-trampa-del-cae-por-kenneth-bunker
17,C001,10.85,Adultos Mayores con demencia y justicia: una brecha que Chile debe cerrar,1,1,Ciper,nacional,product:nacional; noise:opinion; source:normal_scrape; sector:politica_estado; sector:empresas_finanzas; product:regiones; sector:salud_educacion_social; region:Valparaíso,https://www.ciperchile.cl/2026/06/13/adultos-mayores-con-demencia-y-justicia-una-brecha-que-chile-debe-cerrar
18,C002,10.85,Justicia sexual: una tarea urgente en tiempos de retroceso,1,1,Ciper,nacional,product:regiones; sector:economia_macro; sector:empresas_finanzas; noise:opinion; sector:politica_estado; sector:salud_educacion_social; noise:deportes; sector:laboral_gobernanza,https://www.ciperchile.cl/2026/06/13/justicia-sexual-una-tarea-urgente-en-tiempos-de-retroceso
19,C003,10.8,"""Operación conjunta"": Cómo fue y qué se sabe de la acción que dio muerte al líder del Tren de Aragua",1,1,Emol,nacional,sector:politica_estado; sector:empresas_finanzas; product:nacional; sector:laboral_gobernanza; product:df_archive; source:df_body_archive; source:normal_scrape; sector:infraestructura_concesiones; internacional,https://www.emol.com/noticias/Internacional/2026/06/13/1202713/nino-guerrero-tren-aragua-eeuu.html
20,C057,10.7,Irán enfría expectativas y posterga firma de acuerdo con Estados Unidos en medio de tensas negociaciones,2,2,Elnortero; Elvacanudo,regiones,sector:empresas_finanzas; product:regiones; sector:economia_macro; source:normal_scrape; sector:politica_estado; sector:justicia_seguridad; sector:medioambiente_permisos; sector:salud_educacion_social; politica_gobierno,https://www.elvacanudo.cl/noticia/politica/iran-enfria-expectativas-y-posterga-firma-de-acuerdo-con-estados-unidos-en-medio-de
21,C009,10.65,El ocaso de Raúl Torrealba: los años de silencio del exalcalde de Vitacura mientras se acerca el juicio por corrupción,1,1,Ex-Ante,nacional,source:normal_scrape; sector:politica_estado; sector:empresas_finanzas; product:regiones; product:nacional; sector:salud_educacion_social; region:Metropolitana; sector:justicia_seguridad,https://www.ex-ante.cl/el-ocaso-del-raul-torrealba-los-anos-de-silencio-del-exalcalde-de-vitacura-mientras-se-acerca-el-juicio-por-corrupcion
22,C011,10.65,"Quién es Annie Walker, la ejecutiva enviada desde EE.UU. para liderar la potente expansión de Walmart en Chile",1,1,Ex-Ante,biz,sector:empresas_finanzas; sector:politica_estado; sector:laboral_gobernanza; sector:tecnologia_telecom; product:nacional; source:normal_scrape; sector:medioambiente_permisos; sector:infraestructura_concesiones,https://www.ex-ante.cl/quien-es-annie-walker-la-ejecutiva-enviada-desde-ee-uu-para-liderar-la-potente-expansion-de-walmart-en-chile
23,C008,10.35,"Video de la operación: así fue el ataque de EE.UU. que mató al “Niño Guerrero”, máximo líder del Tren de Aragua",1,1,Ex-Ante,nacional,sector:politica_estado; source:normal_scrape; product:nacional; product:regiones; sector:justicia_seguridad; sector:empresas_finanzas; sector:medioambiente_permisos; sector:economia_macro,https://www.ex-ante.cl/video-de-la-operacion-asi-fue-el-ataque-de-ee-uu-que-mato-al-nino-guerrero-maximo-lider-del-tren-de-aragua
